"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2005-04-08,"2005w14","Final",49.76,0.709,70.16,58.9,0,9.9,10.2,78.7,88.9,88.9,17.8,17.7370426099497,58.5,0,14.4,61.4,68.1,129.5,129.5,10.8,12.2183631671423,78.7
2005-04-15,"2005w15","Final",46.76,0.72,64.96,58.1,0,9.9,10.2,78.7,88.9,88.9,15.2,17.676860543293,57.9,0,14.4,61.4,68.1,129.5,129.5,7,12.1898134020452,78.7
2005-04-22,"2005w16","Final",45.25,0.722,62.65,58,0,9.8,10.2,78.3,88.5,88.5,19.4,17.6166784766363,55.6,0,14.4,61.4,68.1,129.5,129.5,9.7,12.161263636948,78.3
2005-04-29,"2005w17","Final",47.19,0.726,65.03,56.1,0,9.5,9.9,76,85.9,85.9,17.9,17.5564964099796,51.4,0,14.4,61.4,68.1,129.5,129.5,10.2,12.1327138718509,76
2005-05-06,"2005w18","Final",45.83,0.731,62.71,54.9,0,9.5,9.8,75.5,85.3,85.3,17.5,17.4963143433229,51.6,0,14.1,61.1,66.1,127.2,127.2,10.5,12.1041641067538,75.5
2005-05-13,"2005w19","Final",45.5,0.728,62.53,54,0,9.3,9.6,74,83.6,83.6,17.9,17.4361322766662,50.5,0,13.8,60.7,63.2,123.9,123.9,11.8,12.0756143416566,74
2005-05-20,"2005w20","Final",44.53,0.71,62.73,56.2,0,9.1,9.4,72.2,81.6,81.6,17.3,17.3759502100095,51.7,0,13.7,60.7,62.9,123.6,123.6,11.3,12.0470645765595,72.2
2005-05-27,"2005w21","Final",45.24,0.711,63.64,58.8,0,8.8,9.2,70,79.2,79.2,16,17.2926141756768,53.7,0,13.4,60.4,60.5,120.9,120.9,10,12.0490004920103,70
2005-06-03,"2005w22","Final",47.32,0.705,67.08,62.4,0,9,9.3,71.3,80.6,80.6,15.1,17.2092781413441,54.9,0,13.5,60.5,61.3,121.8,121.8,9.5,12.0509364074612,71.3
2005-06-10,"2005w23","Final",49.49,0.712,69.48,64.9,0,9.4,9.8,74.9,84.6,84.6,16.1,17.1259421070114,56.9,0,13.8,60.8,63.8,124.6,124.6,10.1,12.052872322912,74.8
2005-06-17,"2005w24","Final",50.4,0.709,71.05,64.8,0,9.7,10.1,77.5,87.6,87.6,15.1,17.0426060726788,58.6,0,14.2,61.1,66.5,127.6,127.6,11.5,12.0548082383628,77.5
2005-06-24,"2005w25","Final",50.49,0.713,70.78,65.5,0,10.2,10.6,81.6,92.2,92.2,16.7,16.9592700383461,59.3,0,14.6,61.5,69.5,131,131,12.6,12.0567441538136,81.6
2005-07-01,"2005w26","Final",53.23,0.702,75.84,70.9,0,10.4,10.8,83.1,93.9,93.9,18.7,16.8759340040134,64.4,0,14.7,61.7,70.5,132.2,132.2,12.3,12.0586800692644,83.1
