Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-19,44,NI,GLN0332 GLN0,ALNT,ENOF,61.000,.000,.000
2019-06-19,44,SI,CYD2201 CYD0,CTCT,ENOF,400.000,.000,.000
2019-06-19,44,NI,OKI2201 OKI0,CTCT,ENOF,29.000,.000,.000
2019-06-19,44,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-19,44,SI,ROX1101 ROX0,CTCT,ENOF,80.000,.000,.000
2019-06-19,44,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-19,44,NI,SFD2201 SFD22,CTCT,ENOF,70.000,.000,.000
2019-06-19,44,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-19,44,NI,THI2201 THI1,CTCT,ENOF,83.000,.000,.000
2019-06-19,44,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-19,44,NI,WRK0331 TAA0,CTCT,ENOF,27.000,.000,.000
2019-06-19,44,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-19,44,SI,CYD2201 CYD0,CTCT,PLRO,.000,42.000,50.000
2019-06-19,44,SI,ROX1101 ROX0,CTCT,PLRO,.000,7.000,6.000
2019-06-19,44,SI,ROX2201 ROX0,CTCT,PLRO,.000,10.000,10.000
2019-06-19,44,NI,SFD2201 SFD22,CTCT,PLRO,.000,23.746,.000
2019-06-19,44,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,8.000
2019-06-19,44,NI,WGN0331,ERGY,ILRO,.000,50.000,134.038
2019-06-19,44,NI,HLY2201 HLY4,GENE,ENOF,230.000,.000,.000
2019-06-19,44,NI,HLY2201 HLY5,GENE,ENOF,330.088,.000,.000
2019-06-19,44,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-19,44,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-19,44,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-19,44,NI,TKU2201 TKU0,GENE,ENOF,94.000,.000,.000
2019-06-19,44,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-19,44,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-19,44,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-19,44,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-19,44,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-19,44,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.000
2019-06-19,44,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.001
2019-06-19,44,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.700
2019-06-19,44,NI,TKU2201 TKU0,GENE,TWRO,.000,6.100,19.160
2019-06-19,44,NI,MHO0331 MHO0,KING,ENOF,26.000,.000,.000
2019-06-19,44,SI,AVI2201 AVI0,MERI,ENOF,174.925,.000,.000
2019-06-19,44,SI,BEN2202 BEN0,MERI,ENOF,384.000,.000,.000
2019-06-19,44,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-19,44,SI,OHA2201 OHA0,MERI,ENOF,155.303,.000,.000
2019-06-19,44,SI,OHB2201 OHB0,MERI,ENOF,168.386,.000,.000
2019-06-19,44,SI,OHC2201 OHC0,MERI,ENOF,168.386,.000,.000
2019-06-19,44,SI,WTK0111 WTK0,MERI,ENOF,40.000,.000,.000
2019-06-19,44,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-19,44,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-19,44,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-19,44,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-19,44,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-19,44,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-19,44,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-19,44,NI,ARA2201 ARA0,MRPL,ENOF,52.000,.000,.000
2019-06-19,44,NI,ARI1101 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-19,44,NI,ARI1102 ARI0,MRPL,ENOF,84.000,.000,.000
2019-06-19,44,NI,ATI2201 ATI0,MRPL,ENOF,54.000,.000,.000
2019-06-19,44,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-19,44,NI,KPO1101 KPO0,MRPL,ENOF,78.000,.000,.000
2019-06-19,44,NI,MTI2201 MTI0,MRPL,ENOF,173.000,.000,.000
2019-06-19,44,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-19,44,NI,OHK2201 OHK0,MRPL,ENOF,80.000,.000,.000
2019-06-19,44,NI,SWN2201 SWN1,MRPL,ENOF,.960,.000,.000
2019-06-19,44,NI,WKM2201 WKM0,MRPL,ENOF,69.000,.000,.000
2019-06-19,44,NI,WPA2201 WPA0,MRPL,ENOF,42.000,.000,.000
2019-06-19,44,NI,WRK0331 RKA0,MRPL,ENOF,35.000,.000,.000
2019-06-19,44,NI,ARA2201 ARA0,MRPL,PLRO,.000,.000,.988
2019-06-19,44,NI,ARI1101 ARI0,MRPL,PLRO,.000,2.000,.000
2019-06-19,44,NI,KPO1101 KPO0,MRPL,PLRO,.000,5.000,7.000
