Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-05,41,NI,GLN0332 GLN0,ALNT,ENOF,36.000,.000,.000
2019-06-05,41,NI,BOB1101,CNTP,ILRO,.000,2.642,6.072
2019-06-05,41,SI,CYD2201 CYD0,CTCT,ENOF,440.000,.000,.000
2019-06-05,41,NI,OKI2201 OKI0,CTCT,ENOF,38.000,.000,.000
2019-06-05,41,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-05,41,SI,ROX1101 ROX0,CTCT,ENOF,118.000,.000,.000
2019-06-05,41,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-05,41,NI,SFD2201 SPL0,CTCT,ENOF,210.000,.000,.000
2019-06-05,41,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-05,41,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-05,41,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-05,41,NI,WRK2201 WRK0,CTCT,ENOF,120.000,.000,.000
2019-06-05,41,SI,CYD2201 CYD0,CTCT,PLRO,.000,24.000,24.000
2019-06-05,41,SI,ROX1101 ROX0,CTCT,PLRO,.000,7.000,7.000
2019-06-05,41,SI,ROX2201 ROX0,CTCT,PLRO,.000,5.000,5.000
2019-06-05,41,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,30.000
2019-06-05,41,NI,WGN0331,ERGY,ILRO,.000,96.456,107.586
2019-06-05,41,NI,HLY2201 HLY4,GENE,ENOF,177.000,.000,.000
2019-06-05,41,NI,HLY2201 HLY5,GENE,ENOF,376.000,.000,.000
2019-06-05,41,NI,HLY2201 HLY6,GENE,ENOF,47.000,.000,.000
2019-06-05,41,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-05,41,SI,TKA0111 TKA1,GENE,ENOF,22.000,.000,.000
2019-06-05,41,SI,TKB2201 TKB1,GENE,ENOF,125.000,.000,.000
2019-06-05,41,NI,TKU2201 TKU0,GENE,ENOF,126.000,.000,.000
2019-06-05,41,NI,TUI1101 KTW0,GENE,ENOF,7.700,.000,.000
2019-06-05,41,NI,TUI1101 PRI0,GENE,ENOF,13.800,.000,.000
2019-06-05,41,NI,TUI1101 TUI0,GENE,ENOF,18.500,.000,.000
2019-06-05,41,NI,HLY2201 HLY4,GENE,PLRO,.000,26.999,22.000
2019-06-05,41,SI,TKA0111 TKA1,GENE,PLRO,.000,.202,.502
2019-06-05,41,SI,TKB2201 TKB1,GENE,PLRO,.000,2.002,7.002
2019-06-05,41,NI,TUI1101 KTW0,GENE,PLRO,.000,.002,.200
2019-06-05,41,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,8.200
2019-06-05,41,NI,TUI1101 TUI0,GENE,PLRO,.000,.301,1.500
2019-06-05,41,NI,TKU2201 TKU0,GENE,TWRO,.000,9.200,28.700
2019-06-05,41,NI,MHO0331 MHO0,KING,ENOF,25.500,.000,.000
2019-06-05,41,SI,AVI2201 AVI0,MERI,ENOF,131.129,.000,.000
2019-06-05,41,SI,BEN2202 BEN0,MERI,ENOF,465.936,.000,.000
2019-06-05,41,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-05,41,SI,OHA2201 OHA0,MERI,ENOF,116.417,.000,.000
2019-06-05,41,SI,OHB2201 OHB0,MERI,ENOF,126.227,.000,.000
2019-06-05,41,SI,OHC2201 OHC0,MERI,ENOF,126.227,.000,.000
2019-06-05,41,SI,WTK0111 WTK0,MERI,ENOF,80.000,.000,.000
2019-06-05,41,SI,AVI2201 AVI0,MERI,PLRO,.000,11.801,9.179
2019-06-05,41,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-05,41,SI,OHA2201 OHA0,MERI,PLRO,.000,10.479,8.149
2019-06-05,41,SI,OHB2201 OHB0,MERI,PLRO,.000,11.360,8.836
2019-06-05,41,SI,OHC2201 OHC0,MERI,PLRO,.000,11.360,8.836
2019-06-05,41,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-05,41,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-05,41,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-05,41,NI,ARI1101 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-05,41,NI,ARI1102 ARI0,MRPL,ENOF,84.000,.000,.000
2019-06-05,41,NI,ATI2201 ATI0,MRPL,ENOF,54.000,.000,.000
2019-06-05,41,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-05,41,NI,KPO1101 KPO0,MRPL,ENOF,78.000,.000,.000
2019-06-05,41,NI,MTI2201 MTI0,MRPL,ENOF,161.000,.000,.000
2019-06-05,41,NI,NAP2202 NTM0,MRPL,ENOF,85.000,.000,.000
2019-06-05,41,NI,OHK2201 OHK0,MRPL,ENOF,53.000,.000,.000
2019-06-05,41,NI,SWN2201 SWN1,MRPL,ENOF,.677,.000,.000
2019-06-05,41,NI,WKM2201 WKM0,MRPL,ENOF,87.000,.000,.000
