Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-02,48,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-02,48,NI,BOB1101,CNTP,ILRO,.000,1.319,3.030
2019-06-02,48,SI,CYD2201 CYD0,CTCT,ENOF,220.000,.000,.000
2019-06-02,48,NI,OKI2201 OKI0,CTCT,ENOF,39.000,.000,.000
2019-06-02,48,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-02,48,SI,ROX1101 ROX0,CTCT,ENOF,120.000,.000,.000
2019-06-02,48,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-02,48,NI,SFD2201 SPL0,CTCT,ENOF,160.000,.000,.000
2019-06-02,48,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-02,48,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-02,48,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-02,48,NI,WRK2201 WRK0,CTCT,ENOF,120.000,.000,.000
2019-06-02,48,SI,ROX2201 ROX0,CTCT,PLRO,.000,.000,10.000
2019-06-02,48,NI,WGN0331,ERGY,ILRO,.000,32.727,41.693
2019-06-02,48,NI,HLY2201 HLY5,GENE,ENOF,300.000,.000,.000
2019-06-02,48,NI,RPO2201 RPO0,GENE,ENOF,88.000,.000,.000
2019-06-02,48,SI,TKA0111 TKA1,GENE,ENOF,22.000,.000,.000
2019-06-02,48,SI,TKB2201 TKB1,GENE,ENOF,125.000,.000,.000
2019-06-02,48,NI,TKU2201 TKU0,GENE,ENOF,94.000,.000,.000
2019-06-02,48,NI,TUI1101 PRI0,GENE,ENOF,5.000,.000,.000
2019-06-02,48,NI,TUI1101 TUI0,GENE,ENOF,7.000,.000,.000
2019-06-02,48,NI,RPO2201 RPO0,GENE,PLRO,.000,32.000,32.000
2019-06-02,48,SI,TKA0111 TKA1,GENE,PLRO,.000,.200,.500
2019-06-02,48,SI,TKB2201 TKB1,GENE,PLRO,.000,2.000,7.000
2019-06-02,48,NI,TUI1101 PRI0,GENE,PLRO,.000,4.300,11.900
2019-06-02,48,NI,TUI1101 TUI0,GENE,PLRO,.000,2.900,12.600
2019-06-02,48,NI,TKU2201 TKU0,GENE,TWRO,.000,9.180,28.740
2019-06-02,48,NI,MHO0331 MHO0,KING,ENOF,26.000,.000,.000
2019-06-02,48,SI,AVI2201 AVI0,MERI,ENOF,43.271,.000,.000
2019-06-02,48,SI,BEN2202 BEN0,MERI,ENOF,296.514,.000,.000
2019-06-02,48,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-02,48,SI,OHA2201 OHA0,MERI,ENOF,38.421,.000,.000
2019-06-02,48,SI,OHB2201 OHB0,MERI,ENOF,41.654,.000,.000
2019-06-02,48,SI,OHC2201 OHC0,MERI,ENOF,41.654,.000,.000
2019-06-02,48,SI,WTK0111 WTK0,MERI,ENOF,55.000,.000,.000
2019-06-02,48,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-02,48,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-02,48,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-02,48,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-02,48,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-02,48,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-02,48,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-02,48,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-02,48,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-02,48,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-02,48,NI,ATI2201 ATI0,MRPL,ENOF,19.000,.000,.000
2019-06-02,48,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-02,48,NI,KPO1101 KPO0,MRPL,ENOF,40.000,.000,.000
2019-06-02,48,NI,MTI2201 MTI0,MRPL,ENOF,37.000,.000,.000
2019-06-02,48,NI,NAP2202 NTM0,MRPL,ENOF,86.000,.000,.000
2019-06-02,48,NI,OHK2201 OHK0,MRPL,ENOF,27.000,.000,.000
2019-06-02,48,NI,WKM2201 WKM0,MRPL,ENOF,23.000,.000,.000
2019-06-02,48,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-02,48,NI,WRK0331 RKA0,MRPL,ENOF,35.000,.000,.000
2019-06-02,48,NI,SWN2201,MRPL,ILRO,.000,.019,.019
2019-06-02,48,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.000
2019-06-02,48,NI,KPO1101 KPO0,MRPL,PLRO,.000,6.000,7.000
2019-06-02,48,NI,MTI2201 MTI0,MRPL,PLRO,.000,17.000,26.000
2019-06-02,48,NI,WKM2201 WKM0,MRPL,PLRO,.000,.989,.000
2019-06-02,48,NI,WPA2201 WPA0,MRPL,PLRO,.000,4.994,6.000
2019-06-02,48,NI,MPE1101,NTHP,ILRO,.000,.600,4.000
2019-06-02,48,NI,MAT1101 ANI0,PUNZ,ENOF,17.000,.000,.000
2019-06-02,48,NI,KAW0112 ONU0,SKOG,ENOF,46.500,.000,.000
2019-06-02,48,NI,KAW0113,SKOG,ILRO,.000,56.000,56.000
2019-06-02,48,NI,HWA1102 WAA0,TODD,ENOF,26.000,.000,.000
2019-06-02,48,NI,KPA1101 KPI1,TODD,ENOF,16.000,.000,.000
2019-06-02,48,SI,ARG1101 BRR0,TRUS,ENOF,11.000,.000,.000
2019-06-02,48,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-02,48,NI,HWA1101 PTA1,TRUS,ENOF,11.000,.000,.000
2019-06-02,48,NI,HWA1101 PTA2,TRUS,ENOF,11.000,.000,.000
2019-06-02,48,NI,HWA1101 PTA3,TRUS,ENOF,11.000,.000,.000
2019-06-02,48,SI,KUM0661 KUM0,TRUS,ENOF,6.000,.000,.000
2019-06-02,48,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-02,48,SI,NSY0331 PAE0,TRUS,ENOF,5.000,.000,.000
2019-06-02,48,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-02,48,SI,STK0661 COB0,TRUS,ENOF,19.000,.000,.000
