Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-23,1,NI,GLN0332 GLN0,ALNT,ENOF,43.000,.000,.000
2019-06-23,1,SI,CYD2201 CYD0,CTCT,ENOF,220.000,.000,.000
2019-06-23,1,NI,OKI2201 OKI0,CTCT,ENOF,28.000,.000,.000
2019-06-23,1,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-23,1,SI,ROX1101 ROX0,CTCT,ENOF,40.001,.000,.000
2019-06-23,1,SI,ROX2201 ROX0,CTCT,ENOF,160.000,.000,.000
2019-06-23,1,NI,SFD2201 SPL0,CTCT,ENOF,250.000,.000,.000
2019-06-23,1,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-23,1,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-23,1,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-23,1,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-23,1,SI,ROX1101 ROX0,CTCT,PLRO,.000,.000,1.000
2019-06-23,1,SI,ROX2201 ROX0,CTCT,PLRO,.000,1.202,17.600
2019-06-23,1,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,10.000
2019-06-23,1,NI,WGN0331,ERGY,ILRO,.000,50.000,55.000
2019-06-23,1,NI,HLY2201 HLY5,GENE,ENOF,260.000,.000,.000
2019-06-23,1,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-23,1,SI,TKA0111 TKA1,GENE,ENOF,24.000,.000,.000
2019-06-23,1,SI,TKB2201 TKB1,GENE,ENOF,138.000,.000,.000
2019-06-23,1,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-23,1,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-23,1,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-23,1,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-23,1,SI,TKA0111 TKA1,GENE,PLRO,.000,.200,.500
2019-06-23,1,SI,TKB2201 TKB1,GENE,PLRO,.000,2.000,7.000
2019-06-23,1,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.000
2019-06-23,1,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.001
2019-06-23,1,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.700
2019-06-23,1,SI,AVI2201 AVI0,MERI,ENOF,111.721,.000,.000
2019-06-23,1,SI,BEN2202 BEN0,MERI,ENOF,176.000,.000,.000
2019-06-23,1,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-23,1,SI,OHA2201 OHA0,MERI,ENOF,99.189,.000,.000
2019-06-23,1,SI,OHB2201 OHB0,MERI,ENOF,107.545,.000,.000
2019-06-23,1,SI,OHC2201 OHC0,MERI,ENOF,107.545,.000,.000
2019-06-23,1,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-23,1,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-23,1,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-23,1,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-23,1,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-23,1,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-23,1,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-23,1,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-23,1,NI,ARA2201 ARA0,MRPL,ENOF,26.000,.000,.000
2019-06-23,1,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-23,1,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-23,1,NI,ATI2201 ATI0,MRPL,ENOF,19.000,.000,.000
2019-06-23,1,NI,KAW1101 KAG0,MRPL,ENOF,107.000,.000,.000
2019-06-23,1,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-23,1,NI,MTI2201 MTI0,MRPL,ENOF,55.388,.000,.000
2019-06-23,1,NI,NAP2202 NTM0,MRPL,ENOF,85.000,.000,.000
2019-06-23,1,NI,OHK2201 OHK0,MRPL,ENOF,27.000,.000,.000
2019-06-23,1,NI,SWN2201 SWN1,MRPL,ENOF,.701,.000,.000
2019-06-23,1,NI,WKM2201 WKM0,MRPL,ENOF,23.000,.000,.000
2019-06-23,1,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-23,1,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-23,1,NI,ARI1101 ARI0,MRPL,PLRO,.000,.000,1.995
2019-06-23,1,NI,KPO1101 KPO0,MRPL,PLRO,.000,.000,10.000
2019-06-23,1,NI,MTI2201 MTI0,MRPL,PLRO,.000,.000,26.476
2019-06-23,1,NI,WPA2201 WPA0,MRPL,PLRO,.000,.000,4.000
2019-06-23,1,NI,MPE1101,NTHP,ILRO,.000,.000,3.500
2019-06-23,1,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-23,1,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-23,1,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-23,1,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-23,1,NI,KPA1101 KPI1,TODD,ENOF,17.500,.000,.000
2019-06-23,1,SI,BWK1101 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-23,1,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-23,1,NI,HWA1101 PTA1,TRUS,ENOF,3.000,.000,.000
2019-06-23,1,SI,HWB0331 WPI0,TRUS,ENOF,15.465,.000,.000
2019-06-23,1,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-23,1,SI,NSY0331 PAE0,TRUS,ENOF,11.000,.000,.000
2019-06-23,1,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-23,1,SI,STK0661 COB0,TRUS,ENOF,29.000,.000,.000
2019-06-23,1,NI,HWA1101 PTA1,TRUS,PLRO,.000,7.500,7.380
2019-06-23,1,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,5.670
2019-06-23,1,NI,ROT1101 WHE0,TRUS,PLRO,.000,.500,.500
2019-06-23,1,NI,WKM2201 MOK0,TUAR,ENOF,104.000,.000,.000
2019-06-23,1,NI,PEN0331,VCTR,ILRO,.000,.000,11.877
2019-06-23,1,NI,CPK0331,VWEN,ILRO,.000,.000,2.749
2019-06-23,1,NI,HAM0331,WNET,ILRO,.000,3.710,3.014
2019-06-23,1,NI,NAP2201 NAP0,NAPJ,ENOF,136.000,.000,.000
2019-06-23,2,NI,GLN0332 GLN0,ALNT,ENOF,43.000,.000,.000
