Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-22,48,NI,GLN0332 GLN0,ALNT,ENOF,45.000,.000,.000
2019-06-22,48,SI,CYD2201 CYD0,CTCT,ENOF,220.000,.000,.000
2019-06-22,48,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-22,48,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-22,48,SI,ROX1101 ROX0,CTCT,ENOF,39.001,.000,.000
2019-06-22,48,SI,ROX2201 ROX0,CTCT,ENOF,155.000,.000,.000
2019-06-22,48,NI,SFD2201 SPL0,CTCT,ENOF,250.000,.000,.000
2019-06-22,48,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-22,48,NI,THI2201 THI2,CTCT,ENOF,83.000,.000,.000
2019-06-22,48,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-22,48,NI,WRK2201 WRK0,CTCT,ENOF,115.000,.000,.000
2019-06-22,48,SI,CYD2201 CYD0,CTCT,PLRO,.000,18.000,7.723
2019-06-22,48,SI,ROX1101 ROX0,CTCT,PLRO,.000,1.000,1.000
2019-06-22,48,SI,ROX2201 ROX0,CTCT,PLRO,.000,17.050,17.050
2019-06-22,48,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,30.000
2019-06-22,48,NI,WGN0331,ERGY,ILRO,.000,50.000,55.000
2019-06-22,48,NI,HLY2201 HLY5,GENE,ENOF,300.000,.000,.000
2019-06-22,48,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-22,48,SI,TKA0111 TKA1,GENE,ENOF,24.000,.000,.000
2019-06-22,48,SI,TKB2201 TKB1,GENE,ENOF,138.000,.000,.000
2019-06-22,48,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-22,48,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-22,48,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-22,48,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-22,48,SI,TKA0111 TKA1,GENE,PLRO,.000,.201,.500
2019-06-22,48,SI,TKB2201 TKB1,GENE,PLRO,.000,2.001,7.000
2019-06-22,48,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.000
2019-06-22,48,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.001
2019-06-22,48,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.700
2019-06-22,48,SI,AVI2201 AVI0,MERI,ENOF,97.821,.000,.000
2019-06-22,48,SI,BEN2202 BEN0,MERI,ENOF,265.000,.000,.000
2019-06-22,48,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-22,48,SI,OHA2201 OHA0,MERI,ENOF,86.849,.000,.000
2019-06-22,48,SI,OHB2201 OHB0,MERI,ENOF,94.165,.000,.000
2019-06-22,48,SI,OHC2201 OHC0,MERI,ENOF,94.165,.000,.000
2019-06-22,48,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-22,48,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-22,48,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-22,48,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-22,48,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-22,48,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-22,48,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-22,48,SI,AVI2201 AVI0,MERI,TWRO,.000,6.144,.000
2019-06-22,48,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-22,48,NI,ARA2201 ARA0,MRPL,ENOF,26.000,.000,.000
2019-06-22,48,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-22,48,NI,ARI1102 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-22,48,NI,ATI2201 ATI0,MRPL,ENOF,19.000,.000,.000
2019-06-22,48,NI,KAW1101 KAG0,MRPL,ENOF,107.000,.000,.000
2019-06-22,48,NI,KPO1101 KPO0,MRPL,ENOF,46.000,.000,.000
2019-06-22,48,NI,MTI2201 MTI0,MRPL,ENOF,83.610,.000,.000
2019-06-22,48,NI,NAP2202 NTM0,MRPL,ENOF,85.000,.000,.000
2019-06-22,48,NI,OHK2201 OHK0,MRPL,ENOF,27.000,.000,.000
2019-06-22,48,NI,WKM2201 WKM0,MRPL,ENOF,46.000,.000,.000
2019-06-22,48,NI,WPA2201 WPA0,MRPL,ENOF,22.000,.000,.000
2019-06-22,48,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-22,48,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.995
2019-06-22,48,NI,KPO1101 KPO0,MRPL,PLRO,.000,6.992,8.000
2019-06-22,48,NI,MTI2201 MTI0,MRPL,PLRO,.000,16.555,27.000
2019-06-22,48,NI,WPA2201 WPA0,MRPL,PLRO,.000,4.994,8.000
2019-06-22,48,NI,MPE1101,NTHP,ILRO,.000,.600,4.000
2019-06-22,48,NI,MAT1101 ANI0,PUNZ,ENOF,13.000,.000,.000
2019-06-22,48,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-22,48,NI,KAW0113,SKOG,ILRO,.000,56.000,56.000
2019-06-22,48,NI,HWA1102 WAA0,TODD,ENOF,5.000,.000,.000
2019-06-22,48,NI,KPA1101 KPI1,TODD,ENOF,17.000,.000,.000
2019-06-22,48,NI,MKE1101 MKE1,TODD,ENOF,48.900,.000,.000
2019-06-22,48,SI,BWK1101 WPI0,TRUS,ENOF,23.744,.000,.000
2019-06-22,48,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-22,48,SI,HWB0331 WPI0,TRUS,ENOF,22.000,.000,.000
2019-06-22,48,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-22,48,SI,NSY0331 PAE0,TRUS,ENOF,11.000,.000,.000
2019-06-22,48,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-22,48,SI,STK0661 COB0,TRUS,ENOF,29.000,.000,.000
2019-06-22,48,NI,MAT1101 MAT0,TRUS,PLRO,.000,19.750,18.900
2019-06-22,48,NI,ROT1101 WHE0,TRUS,PLRO,.000,.500,.500
2019-06-22,48,NI,WKM2201 MOK0,TUAR,ENOF,104.000,.000,.000
2019-06-22,48,NI,PEN0331,VCTR,ILRO,.000,.000,18.300
2019-06-22,48,NI,CPK0331,VWEN,ILRO,.000,.000,2.629
2019-06-22,48,NI,HAM0331,WNET,ILRO,.000,3.503,2.694
2019-06-22,48,NI,NAP2201 NAP0,NAPJ,ENOF,136.000,.000,.000
2019-06-22,47,NI,GLN0332 GLN0,ALNT,ENOF,45.000,.000,.000
2019-06-22,47,SI,CYD2201 CYD0,CTCT,ENOF,302.000,.000,.000
2019-06-22,47,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-22,47,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-22,47,SI,ROX1101 ROX0,CTCT,ENOF,39.001,.000,.000
2019-06-22,47,SI,ROX2201 ROX0,CTCT,ENOF,155.000,.000,.000
2019-06-22,47,NI,SFD2201 SPL0,CTCT,ENOF,280.000,.000,.000
2019-06-22,47,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-22,47,NI,THI2201 THI2,CTCT,ENOF,83.000,.000,.000
2019-06-22,47,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-22,47,NI,WRK2201 WRK0,CTCT,ENOF,115.000,.000,.000
2019-06-22,47,SI,CYD2201 CYD0,CTCT,PLRO,.000,38.000,38.000
2019-06-22,47,SI,ROX1101 ROX0,CTCT,PLRO,.000,1.000,1.000
2019-06-22,47,SI,ROX2201 ROX0,CTCT,PLRO,.000,17.050,17.050
2019-06-22,47,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,28.000
2019-06-22,47,NI,WGN0331,ERGY,ILRO,.000,68.569,55.000
2019-06-22,47,NI,HLY2201 HLY5,GENE,ENOF,350.000,.000,.000
2019-06-22,47,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-22,47,SI,TKA0111 TKA1,GENE,ENOF,24.000,.000,.000
2019-06-22,47,SI,TKB2201 TKB1,GENE,ENOF,138.000,.000,.000
2019-06-22,47,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-22,47,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-22,47,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-22,47,NI,RPO2201 RPO0,GENE,PLRO,.000,.002,.001
2019-06-22,47,SI,TKA0111 TKA1,GENE,PLRO,.000,.202,.502
2019-06-22,47,SI,TKB2201 TKB1,GENE,PLRO,.000,2.002,7.002
2019-06-22,47,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.000
2019-06-22,47,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.001
2019-06-22,47,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.700
2019-06-22,47,SI,AVI2201 AVI0,MERI,ENOF,110.934,.000,.000
2019-06-22,47,SI,BEN2202 BEN0,MERI,ENOF,265.000,.000,.000
2019-06-22,47,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-22,47,SI,OHA2201 OHA0,MERI,ENOF,98.492,.000,.000
2019-06-22,47,SI,OHB2201 OHB0,MERI,ENOF,106.787,.000,.000
2019-06-22,47,SI,OHC2201 OHC0,MERI,ENOF,106.787,.000,.000
2019-06-22,47,SI,WTK0111 WTK0,MERI,ENOF,40.000,.000,.000
2019-06-22,47,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-22,47,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-22,47,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-22,47,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-22,47,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-22,47,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-22,47,SI,AVI2201 AVI0,MERI,TWRO,.000,7.868,.000
2019-06-22,47,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-22,47,SI,OHA2201 OHA0,MERI,TWRO,.000,6.984,7.076
2019-06-22,47,SI,OHB2201 OHB0,MERI,TWRO,.000,7.574,.000
2019-06-22,47,SI,OHC2201 OHC0,MERI,TWRO,.000,7.574,10.098
