Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-08,1,NI,GLN0332 GLN0,ALNT,ENOF,36.000,.000,.000
2019-06-08,1,NI,BOB1101,CNTP,ILRO,.000,1.273,2.925
2019-06-08,1,SI,CYD2201 CYD0,CTCT,ENOF,306.000,.000,.000
2019-06-08,1,NI,OKI2201 OKI0,CTCT,ENOF,39.000,.000,.000
2019-06-08,1,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-08,1,SI,ROX1101 ROX0,CTCT,ENOF,60.000,.000,.000
2019-06-08,1,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-08,1,NI,SFD2201 SPL0,CTCT,ENOF,160.000,.000,.000
2019-06-08,1,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-08,1,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-08,1,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-08,1,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-08,1,SI,CYD2201 CYD0,CTCT,PLRO,.000,36.720,46.474
2019-06-08,1,SI,ROX1101 ROX0,CTCT,PLRO,.000,14.400,14.400
2019-06-08,1,SI,ROX2201 ROX0,CTCT,PLRO,.000,4.000,4.000
2019-06-08,1,NI,WGN0331,ERGY,ILRO,.000,50.000,55.000
2019-06-08,1,NI,HLY2201 HLY5,GENE,ENOF,320.000,.000,.000
2019-06-08,1,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-08,1,SI,TKA0111 TKA1,GENE,ENOF,22.000,.000,.000
2019-06-08,1,SI,TKB2201 TKB1,GENE,ENOF,125.000,.000,.000
2019-06-08,1,NI,TUI1101 PRI0,GENE,ENOF,5.000,.000,.000
2019-06-08,1,NI,TUI1101 TUI0,GENE,ENOF,7.000,.000,.000
2019-06-08,1,SI,TKA0111 TKA1,GENE,PLRO,.000,.202,.500
2019-06-08,1,SI,TKB2201 TKB1,GENE,PLRO,.000,2.002,7.000
2019-06-08,1,NI,TUI1101 PRI0,GENE,PLRO,.000,4.300,11.900
2019-06-08,1,NI,TUI1101 TUI0,GENE,PLRO,.000,2.900,12.600
2019-06-08,1,NI,MHO0331 MHO0,KING,ENOF,25.500,.000,.000
2019-06-08,1,SI,AVI2201 AVI0,MERI,ENOF,51.401,.000,.000
2019-06-08,1,SI,BEN2202 BEN0,MERI,ENOF,310.000,.000,.000
2019-06-08,1,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-08,1,SI,OHA2201 OHA0,MERI,ENOF,45.639,.000,.000
2019-06-08,1,SI,OHB2201 OHB0,MERI,ENOF,49.480,.000,.000
2019-06-08,1,SI,OHC2201 OHC0,MERI,ENOF,49.480,.000,.000
2019-06-08,1,SI,WTK0111 WTK0,MERI,ENOF,90.000,.000,.000
2019-06-08,1,SI,AVI2201 AVI0,MERI,PLRO,.000,7.114,9.179
2019-06-08,1,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-08,1,SI,OHA2201 OHA0,MERI,PLRO,.000,4.190,8.149
2019-06-08,1,SI,OHB2201 OHB0,MERI,PLRO,.000,6.848,8.836
2019-06-08,1,SI,OHC2201 OHC0,MERI,PLRO,.000,6.848,8.836
2019-06-08,1,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-08,1,SI,AVI2201 AVI0,MERI,TWRO,.000,1.085,.000
2019-06-08,1,SI,BEN2202 BEN0,MERI,TWRO,.000,.002,.002
2019-06-08,1,SI,OHA2201 OHA0,MERI,TWRO,.000,5.027,.000
2019-06-08,1,SI,OHB2201 OHB0,MERI,TWRO,.000,8.218,.000
2019-06-08,1,SI,OHC2201 OHC0,MERI,TWRO,.000,8.218,.000
2019-06-08,1,NI,ARA2201 ARA0,MRPL,ENOF,22.000,.000,.000
2019-06-08,1,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
2019-06-08,1,NI,KAW1101 KAG0,MRPL,ENOF,108.000,.000,.000
2019-06-08,1,NI,KPO1101 KPO0,MRPL,ENOF,40.000,.000,.000
2019-06-08,1,NI,MTI2201 MTI0,MRPL,ENOF,21.000,.000,.000
2019-06-08,1,NI,NAP2202 NTM0,MRPL,ENOF,85.000,.000,.000
2019-06-08,1,NI,WKM2201 WKM0,MRPL,ENOF,23.000,.000,.000
2019-06-08,1,NI,WPA2201 WPA0,MRPL,ENOF,12.000,.000,.000
2019-06-08,1,NI,WRK0331 RKA0,MRPL,ENOF,34.000,.000,.000
2019-06-08,1,NI,SWN2201,MRPL,ILRO,.000,.008,.008
2019-06-08,1,NI,ARI1101 ARI0,MRPL,PLRO,.000,1.000,1.000
2019-06-08,1,NI,KPO1101 KPO0,MRPL,PLRO,.000,5.000,9.000
2019-06-08,1,NI,MTI2201 MTI0,MRPL,PLRO,.000,18.900,31.000
2019-06-08,1,NI,WKM2201 WKM0,MRPL,PLRO,.000,.000,.989
2019-06-08,1,NI,WPA2201 WPA0,MRPL,PLRO,.000,2.000,3.000
2019-06-08,1,NI,MPE1101,NTHP,ILRO,.000,.000,3.500
2019-06-08,1,NI,MAT1101 ANI0,PUNZ,ENOF,15.000,.000,.000
2019-06-08,1,NI,KAW0112 ONU0,SKOG,ENOF,48.000,.000,.000
2019-06-08,1,NI,KAW0113,SKOG,ILRO,.000,58.000,58.000
2019-06-08,1,NI,HWA1102 WAA0,TODD,ENOF,31.000,.000,.000
2019-06-08,1,NI,KPA1101 KPI1,TODD,ENOF,15.800,.000,.000
2019-06-08,1,SI,ARG1101 BRR0,TRUS,ENOF,10.000,.000,.000
2019-06-08,1,SI,COL0661 COL0,TRUS,ENOF,36.000,.000,.000
2019-06-08,1,NI,HWA1101 PTA1,TRUS,ENOF,3.000,.000,.000
2019-06-08,1,NI,MAT1101 MAT0,TRUS,ENOF,19.000,.000,.000
2019-06-08,1,SI,NSY0331 PAE0,TRUS,ENOF,3.000,.000,.000
2019-06-08,1,NI,ROT1101 WHE0,TRUS,ENOF,6.500,.000,.000
2019-06-08,1,SI,STK0661 COB0,TRUS,ENOF,19.834,.000,.000
2019-06-08,1,NI,TGA0331 KMI0,TRUS,ENOF,6.000,.000,.000
2019-06-08,1,NI,HWA1101 PTA1,TRUS,PLRO,.000,7.500,7.380
2019-06-08,1,NI,MAT1101 MAT0,TRUS,PLRO,.000,3.980,3.780
2019-06-08,1,NI,ROT1101 WHE0,TRUS,PLRO,.000,2.600,5.200
2019-06-08,1,NI,WKM2201 MOK0,TUAR,ENOF,97.000,.000,.000
