Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-11,21,NI,GLN0332 GLN0,ALNT,ENOF,45.000,.000,.000
2019-06-11,21,NI,BOB1101,CNTP,ILRO,.000,2.826,6.493
2019-06-11,21,SI,CYD2201 CYD0,CTCT,ENOF,420.000,.000,.000
2019-06-11,21,NI,OKI2201 OKI0,CTCT,ENOF,32.000,.000,.000
2019-06-11,21,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-11,21,SI,ROX1101 ROX0,CTCT,ENOF,120.000,.000,.000
2019-06-11,21,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-11,21,NI,SFD2201 SPL0,CTCT,ENOF,250.000,.000,.000
2019-06-11,21,NI,THI2201 THI1,CTCT,ENOF,81.000,.000,.000
2019-06-11,21,NI,THI2201 THI2,CTCT,ENOF,83.000,.000,.000
2019-06-11,21,NI,WRK0331 TAA0,CTCT,ENOF,12.000,.000,.000
2019-06-11,21,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-11,21,SI,CYD2201 CYD0,CTCT,PLRO,.000,33.600,35.000
2019-06-11,21,SI,ROX1101 ROX0,CTCT,PLRO,.000,3.000,3.000
2019-06-11,21,SI,ROX2201 ROX0,CTCT,PLRO,.000,8.000,8.000
2019-06-11,21,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,58.000
2019-06-11,21,NI,WGN0331,ERGY,ILRO,.000,113.629,106.832
2019-06-11,21,NI,HLY2201 HLY5,GENE,ENOF,393.000,.000,.000
2019-06-11,21,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-11,21,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-11,21,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-11,21,NI,TKU2201 TKU0,GENE,ENOF,188.000,.000,.000
2019-06-11,21,NI,TUI1101 KTW0,GENE,ENOF,20.000,.000,.000
2019-06-11,21,NI,TUI1101 PRI0,GENE,ENOF,25.000,.000,.000
2019-06-11,21,NI,TUI1101 TUI0,GENE,ENOF,40.000,.000,.000
2019-06-11,21,NI,RPO2201 RPO0,GENE,PLRO,.000,.003,.002
2019-06-11,21,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-11,21,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.001
2019-06-11,21,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.002
2019-06-11,21,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.701
2019-06-11,21,NI,TKU2201 TKU0,GENE,TWRO,.000,12.242,38.320
2019-06-11,21,NI,MHO0331 MHO0,KING,ENOF,25.500,.000,.000
2019-06-11,21,SI,AVI2201 AVI0,MERI,ENOF,158.396,.000,.000
2019-06-11,21,SI,BEN2202 BEN0,MERI,ENOF,403.000,.000,.000
2019-06-11,21,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-11,21,SI,OHA2201 OHA0,MERI,ENOF,133.687,.000,.000
2019-06-11,21,SI,OHB2201 OHB0,MERI,ENOF,113.986,.000,.000
2019-06-11,21,SI,OHC2201 OHC0,MERI,ENOF,113.986,.000,.000
2019-06-11,21,SI,WTK0111 WTK0,MERI,ENOF,55.000,.000,.000
