Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-24,40,NI,GLN0332 GLN0,ALNT,ENOF,38.000,.000,.000
2019-06-24,40,SI,CYD2201 CYD0,CTCT,ENOF,400.000,.000,.000
2019-06-24,40,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-24,40,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-24,40,SI,ROX1101 ROX0,CTCT,ENOF,111.000,.000,.000
2019-06-24,40,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-24,40,NI,SFD2201 SFD22,CTCT,ENOF,70.000,.000,.000
2019-06-24,40,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-24,40,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-24,40,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-24,40,NI,TWH0331 TRC1,CTCT,ENOF,46.000,.000,.000
2019-06-24,40,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-24,40,NI,WRK2201 WRK0,CTCT,ENOF,117.000,.000,.000
2019-06-24,40,SI,CYD2201 CYD0,CTCT,PLRO,.000,44.000,45.000
2019-06-24,40,SI,ROX1101 ROX0,CTCT,PLRO,.000,9.990,11.000
2019-06-24,40,SI,ROX2201 ROX0,CTCT,PLRO,.000,5.000,6.000
2019-06-24,40,NI,SFD2201 SFD22,CTCT,PLRO,.000,20.000,20.000
2019-06-24,40,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,8.000
2019-06-24,40,NI,WGN0331,ERGY,ILRO,.000,80.434,69.647
2019-06-24,40,NI,HLY2201 HLY4,GENE,ENOF,150.000,.000,.000
2019-06-24,40,NI,HLY2201 HLY5,GENE,ENOF,355.062,.000,.000
2019-06-24,40,NI,HLY2201 HLY6,GENE,ENOF,48.000,.000,.000
2019-06-24,40,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-24,40,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-24,40,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-24,40,NI,TKU2201 TKU0,GENE,ENOF,188.000,.000,.000
2019-06-24,40,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-24,40,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-24,40,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-24,40,NI,HLY2201 HLY4,GENE,PLRO,.000,.003,.003
2019-06-24,40,NI,RPO2201 RPO0,GENE,PLRO,.000,.003,.003
2019-06-24,40,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-24,40,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.000
2019-06-24,40,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.002
2019-06-24,40,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.701
2019-06-24,40,NI,TKU2201 TKU0,GENE,TWRO,.000,12.242,38.320
2019-06-24,40,NI,MHO0331 MHO0,KING,ENOF,26.000,.000,.000
