Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-03,1,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-03,1,NI,BOB1101,CNTP,ILRO,.000,1.273,2.925
2019-06-03,1,SI,CYD2201 CYD0,CTCT,ENOF,220.000,.000,.000
2019-06-03,1,NI,OKI2201 OKI0,CTCT,ENOF,39.000,.000,.000
2019-06-03,1,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-03,1,SI,ROX1101 ROX0,CTCT,ENOF,80.000,.000,.000
2019-06-03,1,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-03,1,NI,SFD2201 SPL0,CTCT,ENOF,160.000,.000,.000
2019-06-03,1,NI,THI2201 THI1,CTCT,ENOF,81.000,.000,.000
2019-06-03,1,NI,THI2201 THI2,CTCT,ENOF,85.000,.000,.000
2019-06-03,1,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-03,1,NI,WRK2201 WRK0,CTCT,ENOF,120.000,.000,.000
2019-06-03,1,SI,ROX2201 ROX0,CTCT,PLRO,.000,.000,9.000
2019-06-03,1,NI,WGN0331,ERGY,ILRO,.000,.000,36.094
2019-06-03,1,NI,HLY2201 HLY5,GENE,ENOF,240.000,.000,.000
2019-06-03,1,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-03,1,SI,TKA0111 TKA1,GENE,ENOF,22.000,.000,.000
2019-06-03,1,SI,TKB2201 TKB1,GENE,ENOF,125.000,.000,.000
2019-06-03,1,NI,TKU2201 TKU0,GENE,ENOF,94.000,.000,.000
2019-06-03,1,NI,TUI1101 PRI0,GENE,ENOF,5.000,.000,.000
2019-06-03,1,NI,TUI1101 TUI0,GENE,ENOF,7.000,.000,.000
2019-06-03,1,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-03,1,SI,TKA0111 TKA1,GENE,PLRO,.000,.200,.500
2019-06-03,1,SI,TKB2201 TKB1,GENE,PLRO,.000,2.000,7.000
2019-06-03,1,NI,TUI1101 PRI0,GENE,PLRO,.000,4.300,11.900
2019-06-03,1,NI,TUI1101 TUI0,GENE,PLRO,.000,2.900,12.600
2019-06-03,1,NI,TKU2201 TKU0,GENE,TWRO,.000,2.240,6.880
2019-06-03,1,NI,MHO0331 MHO0,KING,ENOF,26.000,.000,.000
2019-06-03,1,SI,AVI2201 AVI0,MERI,ENOF,57.958,.000,.000
2019-06-03,1,SI,BEN2202 BEN0,MERI,ENOF,275.000,.000,.000
2019-06-03,1,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-03,1,SI,OHA2201 OHA0,MERI,ENOF,51.458,.000,.000
2019-06-03,1,SI,OHB2201 OHB0,MERI,ENOF,55.792,.000,.000
2019-06-03,1,SI,OHC2201 OHC0,MERI,ENOF,55.792,.000,.000
2019-06-03,1,SI,WTK0111 WTK0,MERI,ENOF,55.000,.000,.000
2019-06-03,1,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-03,1,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-03,1,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
2019-06-03,1,SI,OHB2201 OHB0,MERI,PLRO,.000,6.311,8.836
2019-06-03,1,SI,OHC2201 OHC0,MERI,PLRO,.000,6.311,8.836
2019-06-03,1,SI,WTK0111 WTK0,MERI,PLRO,.000,1.508,5.000
2019-06-03,1,SI,BEN2202 BEN0,MERI,TWRO,.000,.000,.002
2019-06-03,1,NI,ARA2201 ARA0,MRPL,ENOF,21.223,.000,.000
2019-06-03,1,NI,ARI1101 ARI0,MRPL,ENOF,21.000,.000,.000
