Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-13,35,NI,GLN0332 GLN0,ALNT,ENOF,44.000,.000,.000
2019-06-13,35,SI,CYD2201 CYD0,CTCT,ENOF,420.000,.000,.000
2019-06-13,35,NI,OKI2201 OKI0,CTCT,ENOF,38.000,.000,.000
2019-06-13,35,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-13,35,SI,ROX1101 ROX0,CTCT,ENOF,120.000,.000,.000
2019-06-13,35,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-13,35,NI,SFD2201 SPL0,CTCT,ENOF,250.000,.000,.000
2019-06-13,35,NI,THI2201 THI1,CTCT,ENOF,81.000,.000,.000
2019-06-13,35,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-13,35,NI,TWH0331 TRC1,CTCT,ENOF,35.000,.000,.000
2019-06-13,35,NI,WRK0331 TAA0,CTCT,ENOF,25.000,.000,.000
2019-06-13,35,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-13,35,SI,CYD2201 CYD0,CTCT,PLRO,.000,33.600,34.000
2019-06-13,35,SI,ROX1101 ROX0,CTCT,PLRO,.000,.001,.001
2019-06-13,35,SI,ROX2201 ROX0,CTCT,PLRO,.000,10.000,10.000
2019-06-13,35,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,58.000
2019-06-13,35,NI,WGN0331,ERGY,ILRO,.000,104.365,104.209
2019-06-13,35,NI,HLY2201 HLY4,GENE,ENOF,230.000,.000,.000
2019-06-13,35,NI,HLY2201 HLY5,GENE,ENOF,382.000,.000,.000
2019-06-13,35,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-13,35,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-13,35,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-13,35,NI,TKU2201 TKU0,GENE,ENOF,94.000,.000,.000
2019-06-13,35,NI,TUI1101 KTW0,GENE,ENOF,30.999,.000,.000
2019-06-13,35,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-13,35,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-13,35,NI,RPO2201 RPO0,GENE,PLRO,.000,.003,.002
2019-06-13,35,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-13,35,NI,TUI1101 KTW0,GENE,PLRO,.000,2.001,3.001
2019-06-13,35,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.002
2019-06-13,35,NI,TUI1101 TUI0,GENE,PLRO,.000,.002,5.701
2019-06-13,35,NI,TKU2201 TKU0,GENE,TWRO,.000,20.100,19.200
2019-06-13,35,NI,MHO0331 MHO0,KING,ENOF,25.500,.000,.000
2019-06-13,35,SI,AVI2201 AVI0,MERI,ENOF,174.927,.000,.000
2019-06-13,35,SI,BEN2202 BEN0,MERI,ENOF,443.000,.000,.000
2019-06-13,35,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-13,35,SI,OHA2201 OHA0,MERI,ENOF,141.978,.000,.000
2019-06-13,35,SI,OHB2201 OHB0,MERI,ENOF,125.882,.000,.000
2019-06-13,35,SI,OHC2201 OHC0,MERI,ENOF,125.882,.000,.000
2019-06-13,35,SI,WTK0111 WTK0,MERI,ENOF,90.000,.000,.000
2019-06-13,35,SI,AVI2201 AVI0,MERI,PLRO,.000,4.508,6.011
2019-06-13,35,SI,OHA2201 OHA0,MERI,PLRO,.000,4.004,5.337
2019-06-13,35,SI,OHB2201 OHB0,MERI,PLRO,.000,3.244,4.326
2019-06-13,35,SI,OHC2201 OHC0,MERI,PLRO,.000,3.244,4.326
2019-06-13,35,SI,WTK0111 WTK0,MERI,PLRO,.000,5.000,5.000
2019-06-13,35,NI,ARA2201 ARA0,MRPL,ENOF,52.000,.000,.000
2019-06-13,35,NI,ARI1101 ARI0,MRPL,ENOF,42.000,.000,.000
2019-06-13,35,NI,ARI1102 ARI0,MRPL,ENOF,84.000,.000,.000
2019-06-13,35,NI,ATI2201 ATI0,MRPL,ENOF,54.000,.000,.000
2019-06-13,35,NI,KAW1101 KAG0,MRPL,ENOF,107.000,.000,.000
2019-06-13,35,NI,KPO1101 KPO0,MRPL,ENOF,60.747,.000,.000
