Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-21,43,NI,GLN0332 GLN0,ALNT,ENOF,51.000,.000,.000
2019-06-21,43,SI,CYD2201 CYD0,CTCT,ENOF,400.000,.000,.000
2019-06-21,43,NI,OKI2201 OKI0,CTCT,ENOF,27.000,.000,.000
2019-06-21,43,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-21,43,SI,ROX1101 ROX0,CTCT,ENOF,75.000,.000,.000
2019-06-21,43,SI,ROX2201 ROX0,CTCT,ENOF,200.000,.000,.000
2019-06-21,43,NI,SFD2201 SPL0,CTCT,ENOF,300.000,.000,.000
2019-06-21,43,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-21,43,NI,THI2201 THI2,CTCT,ENOF,83.000,.000,.000
2019-06-21,43,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-21,43,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-21,43,SI,CYD2201 CYD0,CTCT,PLRO,.000,46.000,46.000
2019-06-21,43,SI,ROX1101 ROX0,CTCT,PLRO,.000,9.750,9.000
2019-06-21,43,SI,ROX2201 ROX0,CTCT,PLRO,.000,5.000,5.000
2019-06-21,43,NI,SFD2201 SPL0,CTCT,PLRO,.000,7.700,8.000
2019-06-21,43,NI,WGN0331,ERGY,ILRO,.000,50.000,77.105
2019-06-21,43,NI,HLY2201 HLY5,GENE,ENOF,323.229,.000,.000
2019-06-21,43,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-21,43,SI,TKA0111 TKA1,GENE,ENOF,26.000,.000,.000
2019-06-21,43,SI,TKB2201 TKB1,GENE,ENOF,149.000,.000,.000
2019-06-21,43,NI,TKU2201 TKU0,GENE,ENOF,188.000,.000,.000
2019-06-21,43,NI,TUI1101 KTW0,GENE,ENOF,31.000,.000,.000
2019-06-21,43,NI,TUI1101 PRI0,GENE,ENOF,40.000,.000,.000
2019-06-21,43,NI,TUI1101 TUI0,GENE,ENOF,54.000,.000,.000
2019-06-21,43,NI,RPO2201 RPO0,GENE,PLRO,.000,.001,.001
2019-06-21,43,SI,TKB2201 TKB1,GENE,PLRO,.000,.003,.003
2019-06-21,43,NI,TUI1101 KTW0,GENE,PLRO,.000,2.000,3.000
2019-06-21,43,NI,TUI1101 PRI0,GENE,PLRO,.000,.001,.002
2019-06-21,43,NI,TUI1101 TUI0,GENE,PLRO,.000,.001,5.701
2019-06-21,43,NI,TKU2201 TKU0,GENE,TWRO,.000,.001,.001
2019-06-21,43,SI,AVI2201 AVI0,MERI,ENOF,43.797,.000,.000
2019-06-21,43,SI,BEN2202 BEN0,MERI,ENOF,443.000,.000,.000
2019-06-21,43,SI,MAN2201 MAN0,MERI,ENOF,788.000,.000,.000
2019-06-21,43,SI,OHA2201 OHA0,MERI,ENOF,38.885,.000,.000
2019-06-21,43,SI,OHB2201 OHB0,MERI,ENOF,42.159,.000,.000
