Date,TradingPeriod,Island,PointOfConnection,Trader,Type,ClearedEnergy (MW),ClearedFIR (MW),ClearedSIR (MW)
2019-06-16,47,NI,GLN0332 GLN0,ALNT,ENOF,48.000,.000,.000
2019-06-16,47,SI,CYD2201 CYD0,CTCT,ENOF,306.000,.000,.000
2019-06-16,47,NI,OKI2201 OKI0,CTCT,ENOF,40.000,.000,.000
2019-06-16,47,NI,PPI2201 PPI0,CTCT,ENOF,41.000,.000,.000
2019-06-16,47,SI,ROX1101 ROX0,CTCT,ENOF,40.010,.000,.000
2019-06-16,47,SI,ROX2201 ROX0,CTCT,ENOF,185.000,.000,.000
2019-06-16,47,NI,SFD2201 SPL0,CTCT,ENOF,160.000,.000,.000
2019-06-16,47,NI,THI2201 THI1,CTCT,ENOF,82.000,.000,.000
2019-06-16,47,NI,THI2201 THI2,CTCT,ENOF,84.000,.000,.000
2019-06-16,47,NI,WRK0331 TAA0,CTCT,ENOF,26.000,.000,.000
2019-06-16,47,NI,WRK2201 WRK0,CTCT,ENOF,123.000,.000,.000
2019-06-16,47,SI,CYD2201 CYD0,CTCT,PLRO,.000,27.540,38.000
2019-06-16,47,SI,ROX1101 ROX0,CTCT,PLRO,.000,2.000,2.000
2019-06-16,47,SI,ROX2201 ROX0,CTCT,PLRO,.000,18.000,18.000
2019-06-16,47,NI,WGN0331,ERGY,ILRO,.000,50.000,55.000
2019-06-16,47,NI,HLY2201 HLY5,GENE,ENOF,350.000,.000,.000
2019-06-16,47,NI,RPO2201 RPO0,GENE,ENOF,65.000,.000,.000
2019-06-16,47,SI,TKA0111 TKA1,GENE,ENOF,24.000,.000,.000
2019-06-16,47,SI,TKB2201 TKB1,GENE,ENOF,138.000,.000,.000
2019-06-16,47,NI,TUI1101 KTW0,GENE,ENOF,7.912,.000,.000
2019-06-16,47,NI,TUI1101 PRI0,GENE,ENOF,22.000,.000,.000
2019-06-16,47,NI,TUI1101 TUI0,GENE,ENOF,31.000,.000,.000
2019-06-16,47,NI,RPO2201 RPO0,GENE,PLRO,.000,.002,.001
2019-06-16,47,SI,TKA0111 TKA1,GENE,PLRO,.000,.202,.501
2019-06-16,47,SI,TKB2201 TKB1,GENE,PLRO,.000,2.002,7.002
2019-06-16,47,NI,TUI1101 KTW0,GENE,PLRO,.000,.002,.200
2019-06-16,47,NI,TUI1101 PRI0,GENE,PLRO,.000,.002,.001
2019-06-16,47,NI,TUI1101 TUI0,GENE,PLRO,.000,.301,9.000
2019-06-16,47,SI,AVI2201 AVI0,MERI,ENOF,96.772,.000,.000
2019-06-16,47,SI,BEN2202 BEN0,MERI,ENOF,176.000,.000,.000
2019-06-16,47,SI,MAN2201 MAN0,MERI,ENOF,666.000,.000,.000
2019-06-16,47,SI,OHA2201 OHA0,MERI,ENOF,85.918,.000,.000
2019-06-16,47,SI,OHB2201 OHB0,MERI,ENOF,93.155,.000,.000
2019-06-16,47,SI,OHC2201 OHC0,MERI,ENOF,93.155,.000,.000
2019-06-16,47,SI,WTK0111 WTK0,MERI,ENOF,50.000,.000,.000
2019-06-16,47,SI,AVI2201 AVI0,MERI,PLRO,.000,6.556,9.179
2019-06-16,47,SI,BEN2202 BEN0,MERI,PLRO,.000,.001,.001
2019-06-16,47,SI,MAN2201 MAN0,MERI,PLRO,.000,51.000,67.000
2019-06-16,47,SI,OHA2201 OHA0,MERI,PLRO,.000,5.822,8.149
